"province_name","age_group","male2011","female2011","male2016","female2016","rate_male","rate_female"
"خراسان جنوبی","65-69",6840,7199,6983,7681,0.41812865497076,1.33907487150993
"خراسان جنوبی","70-74",5665,5806,6649,6818,3.47396293027361,3.4860489149156
"خراسان جنوبی","75-79",5940,5574,5121,4881,-2.75757575757576,-2.48654467168999
"خراسان جنوبی","80-84",3566,3351,4667,4135,6.17498597868761,4.67920023873471
"خراسان جنوبی","85-89",1999,1629,2213,1864,2.14107053526763,2.88520564763659
"خراسان جنوبی","90-94",343,359,928,728,34.1107871720117,20.5571030640669
"خراسان جنوبی","95-99",92,80,104,106,2.60869565217391,6.5
"خراسان جنوبی",">100",42,37,32,25,-4.76190476190476,-6.48648648648649
"خراسان جنوبی","unknown",344,1818,NA,NA,NA,NA
"خراسان رضوی","0-4",282513,269574,343374,324078,4.30854509350012,4.04371341449843
"خراسان رضوی","5-9",254747,242202,289308,275596,2.71335874416578,2.75753296834873
"خراسان رضوی","10-14",250437,243930,254185,242021,0.299316794243662,-0.156520313204608
"خراسان رضوی","15-19",266339,268839,231459,230671,-2.61921836456546,-2.83946897585544
"خراسان رضوی","20-24",322810,334495,253805,253239,-4.27527028282891,-4.85842837710579
"خراسان رضوی","25-29",340826,338058,326558,321129,-0.837260068187286,-1.00154411373196
"خراسان رضوی","30-34",272412,271872,340014,332224,4.96321747940619,4.43973634651601
"خراسان رضوی","35-39",216949,210671,278344,271616,5.65985554208593,5.78579870983666
"خراسان رضوی","40-44",181767,182458,212654,208094,3.3985266852619,2.81007135888807
"خراسان رضوی","45-49",149341,149574,178323,177616,3.88131859301866,3.74958214662976
"خراسان رضوی","50-54",134590,137834,144556,144315,1.48094212051415,0.940406576026235
"خراسان رضوی","55-59",96225,101663,126013,129788,6.19132242140816,5.53298643557636
"خراسان رضوی","60-64",58692,69497,90004,95774,10.6699379813262,7.56205303826064
"خراسان رضوی","65-69",53361,57408,53141,61770,-0.0824572253143682,1.51964882943144
"خراسان رضوی","70-74",42215,46164,46510,49944,2.03482174582494,1.63763971926176
"خراسان رضوی","75-79",39335,36222,33435,33001,-2.99987288674209,-1.77847716857159
"خراسان رضوی","80-84",20077,20050,27024,23989,6.9203566269861,3.92917705735661
"خراسان رضوی","85-89",11991,10032,11042,9823,-1.58285380702193,-0.416666666666667
"خراسان رضوی","90-94",2355,2130,4757,3868,20.3991507430998,16.3192488262911
"خراسان رضوی","95-99",593,552,572,606,-0.708263069139966,1.95652173913044
"خراسان رضوی",">100",365,502,107,154,-14.1369863013699,-13.8645418326693
"خراسان رضوی","unknown",1589,1146,NA,NA,NA,NA
"خراسان شمالی","0-4",43316,41256,45023,42221,0.788161418413519,0.467810742679853
"خراسان شمالی","5-9",37252,35586,40914,39113,1.96606893589606,1.98224020682291
"خراسان شمالی","10-14",38715,37939,35069,33568,-1.88350768436007,-2.30422520361633
"خراسان شمالی","15-19",44863,44622,33781,33183,-4.94037402759512,-5.12706736587334
"خراسان شمالی","20-24",48303,48802,37975,36401,-4.27633894375091,-5.08216876357526
"خراسان شمالی","25-29",45210,46508,42857,41695,-1.0409201504092,-2.06975144061237
"خراسان شمالی","30-34",35302,36784,41530,41781,3.52841198798935,2.71694214876033
"خراسان شمالی","35-39",28871,29411,33985,34667,3.54265525960306,3.57417292849614
"خراسان شمالی","40-44",24767,25384,27075,27812,1.86377033956474,1.91301607311692
"خراسان شمالی","45-49",20077,20854,23290,23499,3.20067739204064,2.53668360985902
"خراسان شمالی","50-54",19448,19975,18796,19464,-0.670505964623612,-0.511639549436796
"خراسان شمالی","55-59",13776,15074,17837,18193,5.89576074332172,4.13825129361815
"خراسان شمالی","60-64",8056,10902,12456,13672,10.9235352532274,5.08163639699138
"خراسان شمالی","65-69",7680,8212,7068,9154,-1.59375,2.29420360448125
